,datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,%k,%d,macd,macd_signal,macd_hist,RSI_14,RSI_14_A_50,RSI_14_B_55,EMA10,EMA30,ATR,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,Return,OBV,OBV_EMA,RSI_14_A_41,RSI_14_B_51,Buy,Sell,RSI_31,RSI_31_A_41,RSI_31_B_51,RSI_14_B_56,RSI_31_B_56,RSI_14_A_46,RSI_31_A_46,prediction
2022-04-14 08:00:00,1649894400000.0,0.974,0.985,0.923,0.933,84093379.2,1649980799999.0,80111053.2067,118462.0,38912059.1,37117778.6441,0.0,5.454545454545459,11.818181818181804,-0.011964746036744245,0.01875910004567781,-0.030723846082422054,40.304901905294486,0,1,1.0085503780053289,1.003867124399383,0.061999999999999944,-1,1,1,0.024651661307609762,299146978.30000013,306483071.9328283,0,1,0,0,46.05943231906566,1,1,1,1,0,1,-1
2022-04-15 08:00:00,1649980800000.0,0.933,0.959,0.929,0.956,42541809.7,1650067199999.0,40346404.5214,64036.0,20926706.7,19851156.1723,0.0,12.424242424242399,11.919191919191904,-0.01607858639178361,0.011791562758185525,-0.027870149149969138,42.9332343613954,0,1,0.9989957638225417,1.0007789228252293,0.029999999999999916,-1,-1,1,-0.005230125523012608,341688788.0000001,309869910.7729307,1,1,0,1,47.470622518537915,1,1,1,1,0,1,1
2022-04-16 08:00:00,1650067200000.0,0.955,0.962,0.937,0.951,36809858.4,1650153599999.0,34998947.7004,55559.0,17676225.8,16816860.4776,0.0,10.909090909090882,9.595959595959581,-0.019517309332150123,0.005529788340118396,-0.02504709767226852,42.49519982311902,0,1,0.9902692613093522,0.99756737941715,0.02499999999999991,-1,-1,1,-0.038906414300735936,304878929.60000014,309390233.51485103,1,1,0,0,47.19326961720728,1,1,1,1,0,1,-1
2022-04-17 08:00:00,1650153600000.0,0.95,0.963,0.912,0.914,42819442.0,1650239999999.0,40310611.7353,68140.0,19981291.1,18825894.1494,0.0,0.600600600600601,7.977977977977962,-0.024940612954007957,-0.0005642919187068751,-0.02437632103530108,39.2998252811207,0,1,0.9764021228894699,0.9921759355837856,0.050999999999999934,-1,-1,1,0.02516411378555805,262059487.60000014,304845289.22593457,0,1,0,0,45.17500478678801,1,1,1,1,0,0,1
2022-04-18 08:00:00,1650240000000.0,0.914,0.939,0.874,0.937,118870539.6,1650326399999.0,107348406.1814,157240.0,58326637.1,52740274.8379,0.0,18.2608695652174,9.923520358302962,-0.027070658663965075,-0.0058655652677585155,-0.02120509339620656,42.20889218877509,0,1,0.9692381005459298,0.9886161978041865,0.06499999999999995,-1,-1,1,0.016008537886872842,380930027.20000017,312145595.2231782,1,1,0,0,46.64080212578541,1,1,1,1,0,1,1
2022-04-19 08:00:00,1650326400000.0,0.936,0.957,0.927,0.952,75432689.7,1650412799999.0,70879191.9439,95583.0,37647394.2,35390633.7593,0.0,26.08695652173911,14.982808895852372,-0.027234419164199553,-0.010139336047046723,-0.01709508311715283,44.09078662040208,0,1,0.9661039004466698,0.986253862461981,0.029999999999999916,-1,-1,1,-0.015756302521008347,456362716.90000015,325973341.83195347,1,1,0,0,47.58519598594607,1,1,1,1,0,1,0
2022-04-20 08:00:00,1650412800000.0,0.952,0.976,0.93,0.937,93644303.6,1650499199999.0,89151003.9477,125231.0,45069296.4,42939466.9351,0.0,27.753303964757738,24.033710017238082,-0.028248938995845352,-0.013761256636806449,-0.014487682359038903,42.596968864008126,0,1,0.9608122821836389,0.9830761939160467,0.04599999999999993,-1,-1,1,-0.028815368196371427,362718413.3000002,329494247.3428293,1,1,0,0,46.730552054373014,1,1,1,1,0,1,0
2022-04-21 08:00:00,1650499200000.0,0.937,0.971,0.891,0.91,105007978.4,1650585599999.0,98683813.6459,150741.0,50937770.0,47903038.3822,0.0,15.929203539823018,23.25648800877329,-0.03087571163892011,-0.017184147637229183,-0.013691564001690928,39.97178060185138,0,1,0.9515736854229773,0.9783616007601728,0.07999999999999996,-1,-1,1,-0.00439560439560438,257710434.90000018,322619935.4137725,0,1,0,0,45.21992878846986,1,1,1,1,0,0,-1
2022-04-22 08:00:00,1650585600000.0,0.91,0.924,0.891,0.906,82391016.7,1650671999999.0,74969570.3452,96782.0,38366222.9,34929641.6723,0.0,16.32653061224491,20.003012705608555,-0.03290095275085714,-0.020327508659954776,-0.012573444090902362,39.58258597878966,0,1,0.9432875608006177,0.9736931103885487,0.03300000000000003,-1,-1,1,-0.02207505518763797,175319418.20000017,308521250.4187675,0,1,0,0,44.997250486309284,1,1,1,1,0,0,0
2022-04-23 08:00:00,1650672000000.0,0.906,0.913,0.881,0.886,34559067.5,1650758399999.0,30978218.3297,56634.0,15812715.8,14181225.4564,0.0,6.12244897959184,12.792727710553256,-0.03570818208071247,-0.023403643344106318,-0.012304538736606151,37.6107101734756,0,1,0.9328716406550508,0.9680354903634811,0.03200000000000003,-1,-1,1,0.0,140760350.70000017,292471859.45355356,0,1,0,0,43.88081619435545,1,1,1,1,0,0,0
2022-04-24 08:00:00,1650758400000.0,0.886,0.899,0.877,0.886,49191017.0,1650844799999.0,43699800.4742,70622.0,22550246.9,20038357.4457,0.0,7.5471698113207655,9.998716467719172,-0.03750064742939441,-0.026223044161163937,-0.01127760326823047,37.61071017347561,0,1,0.9243495241723142,0.9627428780819662,0.02200000000000002,-1,-1,1,0.012866817155756216,140760350.70000017,277964126.0733046,0,1,0,0,43.88081619435544,1,1,1,1,0,0,0
2022-04-25 08:00:00,1650844800000.0,0.885,0.9039,0.8261,0.8974,171944524.5,1650931199999.0,148027393.73861,277318.0,82475298.6,70974176.42565,0.0,44.87098804279422,19.513535611235607,-0.037568241107941436,-0.028492083550519437,-0.009076157557421999,39.59981595130226,0,1,0.9194496106864388,0.958527208528291,0.07780000000000009,-1,-1,1,-0.07967461555605082,312704875.20000017,281284991.6963932,0,1,0,0,44.71565966705858,1,1,1,1,0,0,1
2022-04-26 08:00:00,1650931200000.0,0.8975,0.903,0.815,0.8259,176710067.0,1651017599999.0,151087067.46235,273090.0,80509678.4,68921649.90842,0.0,6.411764705882364,19.609974186665784,-0.04289677471810849,-0.031373021784037246,-0.011523752934071242,32.58320347787045,0,1,0.9024405905616317,0.9499706144296916,0.08800000000000008,-1,-1,1,0.017193364814142242,135994808.20000017,267401598.4694426,0,1,0,0,40.78359340445127,0,1,1,1,0,0,-1
